shipment_id,origin_city,destination_city,avg_speed_mph,weight_of_truck_tons,fuel_price_usd_per_gallon,fuel_efficiency_mpg,traffic_status,road_condition_score,weather_condition,season,delivery_target_days,driver_hours_per_day,market_demand_index,carrier_type,holiday_indicator,lane_id_corrected,ref_distance_miles,ref_speed_limit_mph,ref_total_lane_cost_usd,fuel_cost_usd,total_cost_usd,axle_3,axle_4,axle_5,axle_6_plus
SH_001,"Chicago, IL","Dallas, TX",63.2,12.8,4.04,6.19,Medium,5.1,Rain,Spring,2,8,4.5,Refrigerated,0,2,925,70,2007.25,603.7156704,2610.96567,1,0,0,0
SH_002,"Seattle, WA","Chicago, IL",72.4,23.2,3.65,6.28,Medium,7.1,Clear,Winter,4,8,3.9,Flatbed,0,3,1993,80,5444.88,1158.351911,6603.231911,0,0,0,1
SH_003,"Atlanta, GA","Seattle, WA",69.0,13.9,3.56,6.17,Low,4.8,Storm,Spring,5,8,9.9,Tanker,0,2,2505,70,5398.28,1445.34846,6843.62846,0,0,0,1
SH_004,"Phoenix, AZ","Houston, TX",47.0,5.1,4.63,6.83,Low,8.4,Fog,Summer,4,8,0.7,Dry Van,0,1,1166,60,2123.29,790.4216691,2913.711669,1,0,0,0
SH_005,"Atlanta, GA","Miami, FL",44.1,26.6,4.25,5.32,Low,4.4,Fog,Winter,3,8,3.3,Dry Van,1,1,697,60,1288.06,556.8139098,1844.87391,0,1,0,0
SH_006,"New York, NY","Houston, TX",62.3,27.2,3.94,4.48,High,8.3,Fog,Winter,4,8,5.6,Tanker,0,2,1630,70,3553.4,1433.526786,4986.926786,0,0,1,0
SH_007,"Seattle, WA","Houston, TX",57.3,18.1,3.86,4.1,High,4.6,Snow,Spring,5,8,3.1,Flatbed,0,1,2173,60,3965.72,2045.8,6011.52,1,0,0,0
SH_008,"Atlanta, GA","Houston, TX",71.8,11.2,3.82,7.02,Low,5.4,Clear,Fall,3,8,6.9,Dry Van,1,3,806,80,2162.5,438.5925926,2601.092593,0,1,0,0
SH_009,"Miami, FL","Los Angeles, CA",61.9,12.4,3.21,5.83,Medium,5.3,Rain,Summer,6,8,8.8,Flatbed,0,2,2686,70,5882.34,1478.912521,7361.252521,0,0,1,0
SH_011,"Dallas, TX","Atlanta, GA",45.8,18.4,3.97,6.77,Medium,5.6,Fog,Summer,3,8,1.7,Flatbed,0,1,828,60,1507.79,485.5480059,1993.338006,1,0,0,0
SH_012,"New York, NY","Miami, FL",59.5,15.1,3.13,5.02,High,5.5,Fog,Fall,3,8,7.1,Tanker,0,1,1256,60,2360.02,783.123506,3143.143506,0,1,0,0
SH_013,"Houston, TX","Los Angeles, CA",74.9,11.7,4.95,5.64,High,4.2,Storm,Summer,4,8,2.4,Tanker,1,3,1577,80,4264.21,1384.069149,5648.279149,0,0,0,1
SH_014,"Miami, FL","Atlanta, GA",57.1,29.6,3.48,6.69,High,8.6,Fog,Winter,2,8,8.0,Flatbed,0,1,697,60,1288.06,362.5650224,1650.625022,0,0,1,0
SH_015,"Los Angeles, CA","New York, NY",74.4,15.0,4.63,7.19,Medium,4.9,Storm,Winter,6,8,0.4,Tanker,1,3,2812,80,7761.12,1810.787204,9571.907204,0,0,0,1
SH_016,"New York, NY","Phoenix, AZ",63.7,5.4,4.02,4.91,Medium,7.9,Storm,Winter,6,8,6.9,Flatbed,1,2,2461,70,5377.29,2014.912424,7392.202424,0,0,0,1
SH_017,"Miami, FL","Chicago, IL",72.8,8.4,3.68,4.45,Medium,9.5,Rain,Fall,4,8,6.6,Flatbed,1,3,1370,80,3781.2,1132.94382,4914.14382,0,0,0,1
SH_018,"Seattle, WA","Los Angeles, CA",59.4,18.2,3.48,4.37,Low,9.4,Snow,Spring,4,8,6.3,Refrigerated,1,1,1104,60,2034.67,879.1578947,2913.827895,0,0,0,1
SH_019,"Los Angeles, CA","Seattle, WA",52.2,23.1,4.79,7.55,Low,8.7,Storm,Summer,3,8,0.8,Tanker,0,1,1104,60,2034.67,700.418543,2735.088543,1,0,0,0
SH_020,"Chicago, IL","Miami, FL",71.4,20.2,3.02,4.41,Low,8.0,Clear,Spring,3,8,3.1,Flatbed,0,3,1370,80,3781.2,938.185941,4719.385941,0,1,0,0
SH_021,"Phoenix, AZ","Chicago, IL",55.7,29.9,3.35,4.07,Low,7.0,Rain,Fall,5,8,6.5,Refrigerated,1,1,1670,60,3086.16,1374.570025,4460.730025,0,1,0,0
SH_022,"Seattle, WA","Denver, CO",63.0,19.2,3.19,5.47,High,5.6,Rain,Summer,4,8,3.9,Tanker,1,2,1172,70,2525.66,683.488117,3209.148117,0,0,1,0
SH_023,"Phoenix, AZ","Seattle, WA",62.1,24.9,4.01,6.31,Low,7.0,Rain,Spring,4,8,7.2,Flatbed,1,2,1282,70,2762.71,814.7099842,3577.419984,0,1,0,0
