origin_city,destination_city,avg_speed_mph,weight_of_truck_tons,fuel_price_usd_per_gallon,fuel_efficiency_mpg,traffic_status,road_condition_score,weather_condition,season,delivery_target_days,driver_hours_per_day,market_demand_index,carrier_type,holiday_indicator,lane_type_original,lane_type_corrected,lane_id_corrected,ref_distance_miles,ref_speed_limit_mph,ref_total_lane_cost_usd,fuel_cost_usd,total_cost_usd,avg_speed_mph_corrected
"Chicago, IL","Dallas, TX",63.2,12.8,4.04,6.19,Medium,5.1,Rain,Spring,2,8,4.5,Refrigerated,0,fast,normal,2,925,70,2007.25,603.7156704,2610.96567,63.2
"Seattle, WA","Chicago, IL",72.4,23.2,3.65,6.28,Medium,7.1,Clear,Winter,4,8,3.9,Flatbed,0,fast,fast,3,1993,80,5444.88,1158.351911,6603.231911,72.4
"Atlanta, GA","Seattle, WA",69,13.9,3.56,6.17,Low,4.8,Storm,Spring,5,8,9.9,Tanker,0,fast,normal,2,2505,70,5398.28,1445.34846,6843.62846,69
"Phoenix, AZ","Houston, TX",47,5.1,4.63,6.83,Low,8.4,Fog,Summer,4,8,0.7,Dry Van,0,slow,slow,1,1166,60,2123.29,790.4216691,2913.711669,47
"Atlanta, GA","Miami, FL",44.1,26.6,4.25,5.32,Low,4.4,Fog,Winter,2,8,3.3,Dry Van,1,slow,slow,1,697,60,1288.06,556.8139098,1844.87391,44.1
"New York, NY","Houston, TX",62.3,27.2,3.94,4.48,High,8.3,Fog,Winter,4,8,5.6,Tanker,0,slow,normal,2,1630,70,3553.4,1433.526786,4986.926786,62.3
"Seattle, WA","Houston, TX",57.3,18.1,3.86,4.1,High,4.6,Snow,Spring,5,8,3.1,Flatbed,0,fast,slow,1,2173,60,3965.72,2045.8,6011.52,57.3
"Atlanta, GA","Houston, TX",71.8,11.2,3.82,7.02,Low,5.4,Clear,Fall,2,8,6.9,Dry Van,1,slow,fast,3,806,80,2162.5,438.5925926,2601.092593,71.8
"Miami, FL","Los Angeles, CA",61.9,12.4,3.21,5.83,Medium,5.3,Rain,Summer,6,8,8.8,Flatbed,0,normal,normal,2,2686,70,5882.34,1478.912521,7361.252521,61.9
"Seattle, WA","Atlanta, GA",44.3,13.9,4.81,5.09,Medium,7.9,Fog,Summer,8,8,3.5,Refrigerated,1,slow,slow,1,2505,60,4584.15,2367.200393,6951.350393,44.3
"Dallas, TX","Atlanta, GA",45.8,18.4,3.97,6.77,Medium,5.6,Fog,Summer,3,8,1.7,Flatbed,0,slow,slow,1,828,60,1507.79,485.5480059,1993.338006,45.8
"New York, NY","Miami, FL",59.5,15.1,3.13,5.02,High,5.5,Fog,Fall,3,8,7.1,Tanker,0,slow,slow,1,1256,60,2360.02,783.123506,3143.143506,59.5
"Houston, TX","Los Angeles, CA",74.9,11.7,4.95,5.64,High,4.2,Storm,Summer,3,8,2.4,Tanker,1,slow,fast,3,1577,80,4264.21,1384.069149,5648.279149,74.9
"Miami, FL","Atlanta, GA",57.1,29.6,3.48,6.69,High,8.6,Fog,Winter,2,8,8,Flatbed,0,slow,slow,1,697,60,1288.06,362.5650224,1650.625022,57.1
"Los Angeles, CA","New York, NY",74.4,15,4.63,7.19,Medium,4.9,Storm,Winter,5,8,0.4,Tanker,1,fast,fast,3,2812,80,7761.12,1810.787204,9571.907204,74.4
"New York, NY","Phoenix, AZ",63.7,5.4,4.02,4.91,Medium,7.9,Storm,Winter,5,8,6.9,Flatbed,1,fast,normal,2,2461,70,5377.29,2014.912424,7392.202424,63.7
"Miami, FL","Chicago, IL",72.8,8.4,3.68,4.45,Medium,9.5,Rain,Fall,3,8,6.6,Flatbed,1,normal,fast,3,1370,80,3781.2,1132.94382,4914.14382,72.8
"Seattle, WA","Los Angeles, CA",59.4,18.2,3.48,4.37,Low,9.4,Snow,Spring,3,8,6.3,Refrigerated,1,fast,slow,1,1104,60,2034.67,879.1578947,2913.827895,59.4
"Los Angeles, CA","Seattle, WA",52.2,23.1,4.79,7.55,Low,8.7,Storm,Summer,3,8,0.8,Tanker,0,fast,slow,1,1104,60,2034.67,700.418543,2735.088543,52.2
"Chicago, IL","Miami, FL",71.4,20.2,3.02,4.41,Low,8,Clear,Spring,3,8,3.1,Flatbed,0,normal,fast,3,1370,80,3781.2,938.185941,4719.385941,71.4
"Phoenix, AZ","Chicago, IL",55.7,29.9,3.35,4.07,Low,7,Rain,Fall,4,8,6.5,Refrigerated,1,fast,slow,1,1670,60,3086.16,1374.570025,4460.730025,55.7
"Seattle, WA","Denver, CO",63,19.2,3.19,5.47,High,5.6,Rain,Summer,3,8,3.9,Tanker,1,slow,normal,2,1172,70,2525.66,683.488117,3209.148117,63
"Phoenix, AZ","Seattle, WA",62.1,24.9,4.01,6.31,Low,7,Rain,Spring,3,8,7.2,Flatbed,1,normal,normal,2,1282,70,2762.71,814.7099842,3577.419984,62.1
"Dallas, TX","Seattle, WA",40.9,21.1,3.35,7.76,High,9.7,Rain,Winter,6,8,3.7,Flatbed,0,slow,slow,1,1932,60,3525.9,834.0463918,4359.946392,40.9
"Atlanta, GA","Chicago, IL",72.5,15.7,4.93,7.85,Medium,9.1,Clear,Spring,2,8,8.5,Dry Van,1,slow,fast,3,677,80,1844.82,425.1732484,2269.993248,72.5
"Atlanta, GA","Seattle, WA",45.9,18.9,4.87,6.78,High,7.4,Storm,Fall,7,8,6.2,Refrigerated,1,slow,slow,1,2505,60,4584.15,1799.314159,6383.464159,45.9
"Denver, CO","Atlanta, GA",44.9,18,4.75,6.96,Low,8.2,Fog,Summer,4,8,5.5,Tanker,1,slow,slow,1,1392,60,2540.4,950,3490.4,44.9
"Phoenix, AZ","Dallas, TX",54.7,11.4,4.22,4.33,High,4,Clear,Winter,3,8,1.9,Tanker,1,fast,slow,1,1017,60,1851.96,991.1639723,2843.123972,54.7
"Chicago, IL","Atlanta, GA",53.9,6.3,4.77,4.11,Low,7.5,Storm,Fall,2,8,0.4,Refrigerated,1,slow,slow,1,677,60,1251.1,785.7153285,2036.815328,53.9
"Los Angeles, CA","Houston, TX",59,12.2,4.18,4.12,Low,4.2,Clear,Fall,4,8,3.6,Flatbed,0,normal,slow,1,1577,60,2892.22,1599.966019,4492.186019,59
"Seattle, WA","Dallas, TX",58.3,24.2,3.43,6.49,Low,4.5,Rain,Fall,5,8,5.4,Tanker,1,slow,slow,1,1932,60,3525.9,1021.072419,4546.972419,58.3
"Atlanta, GA","Denver, CO",65.4,29.4,4.03,5.29,Low,8.8,Fog,Winter,3,8,7.4,Tanker,1,slow,normal,2,1392,70,2992.8,1060.446125,4053.246125,65.4
"Phoenix, AZ","Houston, TX",46.5,7,3.86,6.75,High,4.3,Storm,Fall,4,8,2.5,Refrigerated,0,normal,slow,1,1166,60,2123.29,666.7792593,2790.069259,46.5
"Houston, TX","Atlanta, GA",65,21.5,3.56,7.82,High,8.4,Storm,Winter,2,8,7.3,Dry Van,0,slow,normal,2,806,70,1728.87,366.9258312,2095.795831,65
"Dallas, TX","Phoenix, AZ",59.8,9,3.24,5.37,High,4.6,Rain,Winter,3,8,8.6,Flatbed,0,fast,slow,1,1017,60,1851.96,613.6089385,2465.568939,59.8
"Chicago, IL","New York, NY",56.6,7.4,3.98,5.89,Low,5,Fog,Winter,2,8,0.5,Refrigerated,0,fast,slow,1,818,60,1537.02,552.7402377,2089.760238,56.6
"New York, NY","Chicago, IL",71,11.5,3.03,7.73,High,7,Storm,Summer,2,8,6.8,Dry Van,0,normal,fast,3,818,80,2269.13,320.6390686,2589.769069,71
"Miami, FL","Atlanta, GA",73,28.6,4.73,6.55,Medium,8.8,Rain,Summer,2,8,6.4,Tanker,1,normal,fast,3,697,80,1899.33,503.329771,2402.659771,73
"Chicago, IL","Dallas, TX",59.1,28.5,3.77,7.84,High,9.4,Storm,Winter,2,8,0.9,Flatbed,0,normal,slow,1,925,60,1704.77,444.8022959,2149.572296,59.1
"Seattle, WA","Houston, TX",42.5,13,4.69,4.09,Medium,8.9,Clear,Spring,7,8,1.2,Dry Van,1,slow,slow,1,2173,60,3965.72,2491.777506,6457.497506,42.5
"Los Angeles, CA","Phoenix, AZ",62,26.9,4.47,7.21,High,5.7,Snow,Winter,1,8,5.7,Dry Van,0,fast,normal,2,410,70,887.65,254.1886269,1141.838627,62
"Los Angeles, CA","Houston, TX",65.6,8.2,3.5,6.32,Low,9.2,Storm,Spring,4,8,4.3,Dry Van,1,slow,normal,2,1577,70,3406.32,873.3386076,4279.658608,65.6
"New York, NY","Atlanta, GA",66.4,7.6,4.81,6.02,Medium,9,Rain,Summer,2,8,9,Tanker,1,fast,normal,2,858,70,1874.73,685.5448505,2560.27485,66.4
"Dallas, TX","Chicago, IL",40.4,27.6,3.18,5.28,Medium,9.7,Snow,Winter,3,8,4.9,Flatbed,1,fast,slow,1,925,60,1704.77,557.1022727,2261.872273,40.4
"Los Angeles, CA","Houston, TX",43.2,20.1,4.11,4.85,High,9.7,Fog,Fall,5,8,0.9,Flatbed,0,slow,slow,1,1577,60,2892.22,1336.385567,4228.605567,43.2
"Chicago, IL","Los Angeles, CA",42,18.7,3.88,7.55,Low,6.1,Snow,Spring,6,8,1.4,Tanker,0,fast,slow,1,2004,60,3729.44,1029.870199,4759.310199,42
"Dallas, TX","Houston, TX",61.6,7.5,3.17,6.8,Low,4.4,Snow,Spring,1,8,7.1,Refrigerated,0,normal,normal,2,259,70,554.26,120.7397059,674.9997059,61.6
"Miami, FL","Seattle, WA",43,29.7,3.75,5.48,High,8.9,Rain,Spring,10,8,5.9,Refrigerated,0,normal,slow,1,3141,60,5817.13,2149.406934,7966.536934,43
"Denver, CO","Dallas, TX",64.8,17,3.76,6.82,High,5.5,Snow,Fall,2,8,4.3,Refrigerated,1,slow,normal,2,762,70,1634.49,420.1055718,2054.595572,64.8
"Los Angeles, CA","Chicago, IL",54.2,19.3,4.48,7.07,Low,8.9,Fog,Spring,5,8,6.8,Refrigerated,1,normal,slow,1,2004,60,3729.44,1269.861386,4999.301386,54.2
"Miami, FL","Houston, TX",54,16.9,3.17,6.11,Low,6.6,Clear,Spring,3,8,5.3,Tanker,1,slow,slow,1,1112,60,2049.42,576.9296236,2626.349624,54
"Houston, TX","Chicago, IL",42.6,18.8,4.94,6.09,Medium,7.8,Storm,Fall,4,8,7,Dry Van,0,normal,slow,1,1083,60,1995.97,878.4926108,2874.462611,42.6
"Chicago, IL","Houston, TX",65.8,27.9,4.92,4.23,High,6.4,Snow,Winter,3,8,3.4,Flatbed,1,slow,normal,2,1083,70,2350.11,1259.659574,3609.769574,65.8
"Miami, FL","New York, NY",62.6,14.7,3.46,5.06,High,6.2,Storm,Winter,3,8,4.5,Tanker,0,normal,normal,2,1256,70,2775.76,858.8458498,3634.60585,62.6
"Houston, TX","Dallas, TX",49.8,15.3,4.21,5.08,Medium,4.8,Clear,Spring,1,8,9.4,Dry Van,1,fast,slow,1,259,60,470.34,214.6437008,684.9837008,49.8
"Chicago, IL","Miami, FL",60.3,28,3.17,7.51,Medium,7.3,Clear,Summer,3,8,4.1,Dry Van,1,fast,normal,2,1370,70,3014,578.2822903,3592.28229,60.3
"Miami, FL","Denver, CO",56.8,29.6,3.75,7,Medium,6.4,Storm,Spring,5,8,0.6,Refrigerated,1,fast,slow,1,1984,60,3666.43,1062.857143,4729.287143,56.8
"Denver, CO","Los Angeles, CA",44.7,5.3,3.15,6.77,High,7.2,Snow,Fall,3,8,9.1,Flatbed,1,fast,slow,1,954,60,1754.41,443.8847858,2198.294786,44.7
"Houston, TX","Atlanta, GA",65.4,23.9,3.76,4.96,High,5.2,Storm,Summer,2,8,2.7,Tanker,1,normal,normal,2,806,70,1728.87,611,2339.87,65.4
"Phoenix, AZ","Atlanta, GA",70.7,23.9,3.09,5.07,Medium,4.1,Rain,Winter,4,8,7.7,Dry Van,1,fast,fast,3,1827,80,4914.63,1113.497041,6028.127041,70.7
"Chicago, IL","Atlanta, GA",69.8,18.8,4.12,7.51,Medium,6.4,Rain,Spring,2,8,7.8,Refrigerated,0,fast,normal,2,677,70,1472.47,371.4034621,1843.873462,69.8
"Dallas, TX","Atlanta, GA",68.2,27.6,4.23,7.92,High,7.6,Clear,Fall,2,8,5.5,Tanker,0,normal,normal,2,828,70,1776.06,442.2272727,2218.287273,68.2
"Denver, CO","Phoenix, AZ",65.4,18.7,3.9,7.64,Low,5.8,Rain,Winter,2,8,9.5,Flatbed,1,normal,normal,2,673,70,1446.95,343.5471204,1790.49712,65.4
"Atlanta, GA","Los Angeles, CA",72.4,17.3,3.52,5.84,High,9.9,Fog,Winter,4,8,3.3,Refrigerated,0,fast,fast,3,2223,80,6026.55,1339.890411,7366.440411,72.4
"Phoenix, AZ","Los Angeles, CA",48.4,6.9,3.26,4.51,High,4.9,Storm,Summer,2,8,6.4,Tanker,1,normal,slow,1,410,60,753.99,296.3636364,1050.353636,48.4
"Seattle, WA","Phoenix, AZ",52.1,27.4,3.95,6.67,High,5,Fog,Fall,4,8,8.2,Dry Van,0,slow,slow,1,1282,60,2346.06,759.2053973,3105.265397,52.1
"Houston, TX","Seattle, WA",52.2,5.8,4.1,6.14,High,6.1,Rain,Summer,6,8,5,Tanker,0,normal,slow,1,2173,60,3965.72,1451.026059,5416.746059,52.2
"Houston, TX","Atlanta, GA",41.4,25,4.26,4.33,Medium,9.2,Snow,Winter,3,8,8.7,Refrigerated,0,normal,slow,1,806,60,1467.73,792.9699769,2260.699977,41.4
