origin_city,origin_state,dest_city,dest_state,distance_miles_est,toll_rate_per_mile_usd,toll_fare_usd,lane_type,lane_rate_per_mile_usd,freight_cost_usd,speed_limit_mph,total_cost_usd
"Dallas, TX",TX,"Chicago, IL",IL,925,0.063,58.27,slow,1.78,1646.5,60,1704.77
"Dallas, TX",TX,"Chicago, IL",IL,925,0.07,64.75,normal,2.1,1942.5,70,2007.25
"Dallas, TX",TX,"Chicago, IL",IL,925,0.098,90.65,fast,2.62,2423.5,80,2514.15
"Dallas, TX",TX,"Los Angeles, CA",CA,1423,0.054,76.84,slow,1.78,2532.94,60,2609.78
"Dallas, TX",TX,"Los Angeles, CA",CA,1423,0.06,85.38,normal,2.1,2988.3,70,3073.68
"Dallas, TX",TX,"Los Angeles, CA",CA,1423,0.084,119.53,fast,2.62,3728.26,80,3847.79
"Dallas, TX",TX,"Atlanta, GA",GA,828,0.041,33.95,slow,1.78,1473.84,60,1507.79
"Dallas, TX",TX,"Atlanta, GA",GA,828,0.045,37.26,normal,2.1,1738.8,70,1776.06
"Dallas, TX",TX,"Atlanta, GA",GA,828,0.063,52.16,fast,2.62,2169.36,80,2221.52
"Dallas, TX",TX,"Houston, TX",TX,259,0.036,9.32,slow,1.78,461.02,60,470.34
"Dallas, TX",TX,"Houston, TX",TX,259,0.04,10.36,normal,2.1,543.9,70,554.26
"Dallas, TX",TX,"Houston, TX",TX,259,0.056,14.5,fast,2.62,678.58,80,693.08
"Dallas, TX",TX,"Miami, FL",FL,1277,0.063,80.45,slow,1.78,2273.06,60,2353.51
"Dallas, TX",TX,"Miami, FL",FL,1277,0.07,89.39,normal,2.1,2681.7,70,2771.09
"Dallas, TX",TX,"Miami, FL",FL,1277,0.098,125.15,fast,2.62,3345.74,80,3470.89
"Dallas, TX",TX,"Denver, CO",CO,762,0.041,31.24,slow,1.78,1356.36,60,1387.6
"Dallas, TX",TX,"Denver, CO",CO,762,0.045,34.29,normal,2.1,1600.2,70,1634.49
"Dallas, TX",TX,"Denver, CO",CO,762,0.063,48.01,fast,2.62,1996.44,80,2044.45
